id,title,price_iqd,price_raw,price_usd,specs,code,id_cat,url,image,source_cat
3669,LENOVO LOQ 15.6 INCH CORE I7-13700HX GEFORCE RTX 5050 8GB GDDR7 24GB DDR5 512GB SSD FHD 144HZ 15IRX10,1805749,"1,805,749 - 1,830,498",1300.0,"كاميرا ‎HD بدقة ‎5.0MP , إضاءة كيبورد باضاءة خلفية, 170W , LCD/IPS , (FHD) , 144Hz , CORE I7-13700HX , RTX 5050 8GB GDDR7 , 24GB DDR5 Not Upgradable , 512GB SSD , استخدام تصفح 5-4 hours , كيمنك 1.5-1 hours , سنة صيانة و حسب شروط الضمان.",673268,69,https://alamani.iq/computer/details/3669,https://apiapp.alamani.iq/public/ar/save_file/2dc4ec57d5ad224dc197b4df1011b743.webp,computer:7
4168,ACER NITRO V15 15.6 INCH CORE I9-13900H GEFORCE RTX 5060 8GB GDDR6 16GB 1TB SSD FHD 165HZ LCD/IPS ANV15-52-9161,1835749,"1,835,749 - 1,860,498",1321.43,"كاميرا ‎بدقة ‎720P , تخزين 135W , LCD/IPS , (FHD) , 185Hz , CORE I9-13900H , RTX 5060 8GB GDDR6 , 16GB DDR4 Upgradable , 1TB Not SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673548,73,https://alamani.iq/computer/details/4168,https://apiapp.alamani.iq/public/ar/save_file/7a5bd2457e8b1aedf32bba94dad007c8.webp,computer:7
3207,ACER PREDATOR PHN16-72 مستخدم,1935749,"1,935,749 - 1,960,498",1392.86,IPS/ 16INCH/ 1600*2560/ 240HZ/ INTEL CORE i9-14900HX/ NVIDIA GEFORCE RTX 4070 140W/ 16GB RAM 5600MHZ/ 1TB SSD,366354,106,https://alamani.iq/computer/details/3207,https://apiapp.alamani.iq/public/ar/save_file/cf196cf963f05c5d1b999f8bb7562aa9.webp,computer:11
3690,LENOVO LOQ 5 15.6 INCH CORE I7-14700HX GEFORCE RTX 5050 8GB GDDR7 24GB DDR5 512GB SSD FHD 144HZ LCD/IPS 15IRX10,1935749,"1,935,749 - 1,960,498",1392.86,"كاميرا ‎HD بدقة ‎5.0MP , إضاءة كيبورد خلفية بيضاء , 170W , LCD/IPS , (FHD) , 144Hz , CORE I7-14700HX , RTX 5050 8GB GDDR7 , 24GB DDR5 Not Upgradable , 512GB SSD , استخدام تصفح 3.5-2 hours , كيمنك 1.5-1 hours , سنة صيانة و حسب شروط الضمان.",673293,69,https://alamani.iq/computer/details/3690,https://apiapp.alamani.iq/public/ar/save_file/68cbc283bcf5be3e593c2be361b609c0.webp,computer:7
3703,ASUS TUF A16 16INCH RYZEN 7-260 GEFORCE RTX 5050 8GB GDDR7 16GB DDR5 512GB SSD WUXGA 165HZ LCD/IPS FA608UH-RV049,2035749,"2,035,749 - 2,060,498",1464.29,"كاميرا بدقة ‎1080p , إضاءة كيبورد منطقة واحدة , 240W , LCD/IPS , (WUXGA) , 165Hz , RYZEN 7-260 , RTX 5050 8GB GDDR7 , 16GB DDR5 Upgradable , 512GB SSD , استخدام تصفح 5-4 hours , كيمنك 1.5-1 hours",673303,67,https://alamani.iq/computer/details/3703,https://apiapp.alamani.iq/public/ar/save_file/46169cc072d86b0c2f76c1f02ccb5535.webp,computer:7
4259,ACER NITRO V16S 16 INCH CORE 9-270H GEFORCE RTX 5070 8GB GDDR7 16GB 1TB SSD WQXGA 180HZ LCD/IPS ANV16S-71-97BE,2060749,"2,060,749 - 2,085,498",1482.14,"كاميرا ‎بدقة ‎FHD , تخزين 135W , LCD/TFT , (WQXGA) , 180Hz , CORE 9-270H , RTX 5070 8GB GDDR7 , 16GB DDR5 , 1TB SSD , استخدام تصفح وكيمنك 1.5 hours .",673638,73,https://alamani.iq/computer/details/4259,https://apiapp.alamani.iq/public/ar/save_file/da89bbb9b9786e24290b2153a5635ef1.webp,computer:7
4255,LENOVO LEGION 5 15.3 INCH CORE I7-13650HX GEFORCE RTX 5060 8GB GDDR7 16GB 1TB SSD WUXGA 165HZ LCD/IPS 15IRX10,2135749,"2,135,749 - 2,160,498",1535.71,"كاميرا ‎بدقة ‎720Mp , تخزين 245W , LCD/IPS , (WUXGA) , 165Hz , CORE I7-13650HX , RTX 5060 8GB GDDR7 , 16GB DDR5 Upgrdable , 1TB SSD Upgrdable , استخدام تصفح وكيمنك 1.5 hours .",673634,69,https://alamani.iq/computer/details/4255,https://apiapp.alamani.iq/public/ar/save_file/b21efbcba4bad1e8fb7b1f0a90cc1dd1.webp,computer:7
3774,ASUS TUF F16 16 INCH CORE I7-14650HX GEFORCE RTX 5060 8GB GDDR7 16GB DDR5 512GB SSD WUXGA 165HZ LCD/IPS FX608JMR-RV050,2185749,"2,185,749 - 2,210,498",1571.43,"كاميرا بدقة 1080p , إضاءة كيبورد منطقة واحدة , 280W , LCD/IPS , (WUXGA) , 165Hz , CORE I7-14650HX , RTX 5060 8GB GDDR7 , 16GB DDR5 Upgradable , 512GB SSD Upgradable , استخدام تصفح 2.5-1 hours , كيمنك 1.5-1 hours",673377,67,https://alamani.iq/computer/details/3774,https://apiapp.alamani.iq/public/ar/save_file/7f60fcb478a56efc804a7cd3d37ea066.webp,computer:7
4188,ASUS ROG STRIX G18 18 INCH CORE I7 14650HX RTX 5050 8GB GDDR7 16GB DDR5 512GB SSD WUXGA 144Hz LCD/IPS G815JHR-S8018,2235749,"2,235,749 - 2,260,498",1607.14,"كاميرا ‎بدقة 1080P , تخزين 280W , LCD/IPS , (WUXGA) , 144Hz , CORE I7 14650HX , RTX 5050 8GB GDDR7 , 16GB DDR5 Upgradable , 1TB SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673568,67,https://alamani.iq/computer/details/4188,https://apiapp.alamani.iq/public/ar/save_file/7ad9ec22594846d5f727fee8e5881153.webp,computer:7
4204,ASUS TUF F16 16 INCH CORE I7 14650HX RTX 5070 8GB GDDR7 16GB DDR5 1TB SSD WUXGA 144Hz LCD/IPS FX608JPR-WH74,2360749,"2,360,749 - 2,385,498",1696.43,"كاميرا ‎بدقة 1080P , تخزين 280W , LCD/IPS , (WUXGA) , 144Hz , CORE I7 14650HX , RTX 5070 8GB GDDR7 , 16GB DDR5 , 1TB SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673582,67,https://alamani.iq/computer/details/4204,https://apiapp.alamani.iq/public/ar/save_file/928476aa75851ca140fa6f730bacf63b.webp,computer:7
3440,ASUS RGOG FLOW Z13 GZ302EA مستخدم,2635749,"2,635,749 - 2,660,498",1892.86,ROG NEBULA DISPLAY TOUCH SCREEN 13.4INCH 1600*2560 QHD+ 180HZ AMD RYZEN AI MAX+ 395 AMD RADEON GRAPHICS 32GB RAM 1TB SSD 1.2*20.6*30.2 cm 1.2kg,366105,99,https://alamani.iq/computer/details/3440,https://apiapp.alamani.iq/public/ar/save_file/af469b4e59226ed11523cc02dc88edc3.webp,computer:11
3666,ASUS ROG STRIX G16 16 INCH CORE I7-14650HX RTX 5070 8GB GDDR7 16GB DDR5 512GB SSD WUXGA 165Hz LCD/IPS G615JPR-RV103,2685749,"2,685,749 - 2,710,498",1928.57,"كاميرا بدقة 1080p, اضاءة كيبورد اربع مناطق , تخزين 280W , LCD/IPS , (WUXGA) , 165Hz , CORE I7-14650HX , RTX 5070 8GB GDDR7 , 16GB DDR5-5600MH , 512GB SSD , استخدام العاب 1-1.5 , استخدام تصفح 4-5 ساعة تقريباً",673271,67,https://alamani.iq/computer/details/3666,https://apiapp.alamani.iq/public/ar/save_file/4ab5d20143971e20be2c0845fce8116d.webp,computer:7
3769,LENOVO LEGION PRO 5 16 INCH ULTRA 7-255HX GEFORCE RTX 5060 8GB GDDR7 2X16GB DDR5 1TB SSD WQXGA 165HZ OLED 16IAX10,2785749,"2,785,749 - 2,810,498",2000.0,"كاميرا ‎HD بدقة ‎5.0MP , إضاءة كيبورد اضاءة 4 مناطق , 245W , OLED , (WQXGA) , 165Hz , ULTRA 7-255HX , RTX 5060 8GB GDDR7 , 32GB DDR5 Not Upgradable , 1TB SSD Upgradable , استخدام تصفح 2 hours , كيمنك 1.5-1 hours , سنة صيانة و حسب شروط الضمان.",673373,69,https://alamani.iq/computer/details/3769,https://apiapp.alamani.iq/public/ar/save_file/205c6f71d53c058a4cf616087e894c32.webp,computer:7
4185,LENOVO LEGION 5 15.1 INCH CORE ULTRA 9-275HX GEFORCE RTX 5070 8GB GDDR7 16GB DDR5 1TB SSD WQXGA 165HZ OLED 15IAX10,2935749,"2,935,749 - 2,960,498",2107.14,"كاميرا ‎بدقة 5.0MP , تخزين 245W , OLED , (WQXGA) , 165Hz , ULTRA 9-275HX , RTX 5070 8GB GDDR7 , 16GB DDR5 Upgradable , 1TB SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673565,69,https://alamani.iq/computer/details/4185,https://apiapp.alamani.iq/public/ar/save_file/8eae7bf55284f258e283e27ccf9d25a5.webp,computer:7
3770,LENOVO LEGION 7 16 INCH ULTRA 7-255HX GEFORCE RTX 5060 8GB GDDR7 2X16GB DDR5 2TB SSD WQXGA 240HZ OLED 16IAX10,2935749,"2,935,749 - 2,960,498",2107.14,"كاميرا ‎HD بدقة ‎5.0MP , إضاءة كيبورد اضاءة 4 مناطق , 245W , OLED , (WQXGA) , 240Hz , ULTRA 7-255HX , RTX 5060 8GB GDDR7 , 32GB DDR5 Not Upgradable , 2TB SSD Not Upgradable , استخدام تصفح 2 hours , كيمنك 1.5-1 hours , سنة صيانة و حسب شروط الضمان.",673372,69,https://alamani.iq/computer/details/3770,https://apiapp.alamani.iq/public/ar/save_file/0f24581755e3f2a2393dbcfef3c7d94e.webp,computer:7
4190,ASUS ROG STRIX G16 16 INCH CORE ULTRA 9-275HX RTX 5060 8GB GDDR7 32GB DDR5 2TB SSD WUXGA 165Hz LCD/IPS G615LM-RV172,3084749,"3,084,749 - 3,109,498",2213.57,"كاميرا ‎بدقة 1080P , تخزين 280W , LCD/IPS , (WUXGA) , 144Hz , CORE ULTRA 9-275HX , RTX 5060 8GB GDDR7 , 2x 16GB DDR5 Upgradable , 2TB SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673570,67,https://alamani.iq/computer/details/4190,https://apiapp.alamani.iq/public/ar/save_file/ab2d1fa6cfc26f3eb3619899eccf876f.webp,computer:7
4195,HP OMEN MAX 16 INCH CORE ULTRA 7 255HX GEFORCE RTX 5070 TI 12GB GDDR7 32GB DDR5 1TB SSD WQXGA 240HZ LCD/IPS 16-AH0030NE,3325749,"3,325,749 - 3,350,498",2385.72,"كاميرا ‎بدقة 1080P , تخزين 330W , LCD/IPS , (WQXGA) , 240Hz , CORE ULTRA 7-255HX , RTX 5070 TI 12GB GDDR7 , 32GB DDR5 , 1TB SSD , استخدام تصفح وكيمنك 1.5 hours .",673575,70,https://alamani.iq/computer/details/4195,https://apiapp.alamani.iq/public/ar/save_file/8c1c66a954ce1ec326e3ec86f8a07e92.webp,computer:7
3351,LENOVO LEGION 7 PRO 16IRX8H مستخدم,3460749,"3,460,749 - 3,485,498",2482.14,WQXGA IPS 16INCH 1600*2560 240HZ INTEL CORE i9-13900HXNVIDIA GEFORCE RTX 409032GB RAM 5600MHZ 2TB SSD,366194,79,https://alamani.iq/computer/details/3351,https://apiapp.alamani.iq/public/ar/save_file/9d9b3924ffd70d2b1da16a6ff8928f08.webp,computer:11
4256,LENOVO LEGION PRO 5 16 INCH CORE ULTRA 9-275HX GEFORCE RTX 5070 TI 12GB GDDR7 32GB 1TB SSD WQXGA 165HZ OLED 16IAX10H,4035749,"4,035,749 - 4,060,498",2892.86,"كاميرا ‎بدقة ‎5.0Mp , تخزين 300W , OLED , (WQXGA) , 165Hz , CORE ULTRA 9-275HX , RTX 5070 TI 12GB GDDR7 , 32GB DDR5 , 1TB SSD Upgrdable , استخدام تصفح وكيمنك 1.5 hours .",673635,69,https://alamani.iq/computer/details/4256,https://apiapp.alamani.iq/public/ar/save_file/fe4ab73add4d3f5ba0b1aec4e60b8dc9.webp,computer:7
